id,item1,chance1,item2,chance2,item3,chance3,item4,chance4,item5,chance5,item6,chance6,item7,chance7,item8,chance8,item9,chance9,item10,chance10,desc
60,5;4000,1000,5;4002,1000,5;4003,1000,5;4004,1000,5;4005,1000,5;4006,1000,5;4010,1000,5;4016,1000,5;4017,1000,5;4022,1000,营地的叫尸
61,5;5000,1000,5;5001,1000,5;5008,1000,5;5009,1000,5;5011,1000,5;5012,1000,5;5013,1000,5;5014,1000,5;5018,1000,5;5025,1000,营地的狂尸
62,5;6000,1000,5;6001,1000,5;6008,1000,5;6009,1000,5;6011,1000,5;6012,1000,5;6013,1000,5;6014,1000,5;6018,1000,5;6025,1000,营地的巨尸
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,采石场的假人
64,5;2007,1200,5;2020,1100,5;2021,1100,5;2022,1100,5;2023,1100,5;2024,1100,5;2025,1100,5;2026,1100,5;2027,1100,0,0,采石场的爬尸
65,5;3007,1000,5;3020,1000,5;3021,1000,5;3022,1000,5;3023,1000,5;3024,1000,5;3025,1000,5;3026,1000,5;3028,1000,5;3029,1000,采石场的行尸
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,采石场的叫尸
67,5;5011,1000,5;5012,1000,5;5013,1000,5;5014,1000,5;5018,1000,5;5033,1000,5;5034,1000,5;5035,1000,5;5036,1000,5;5037,1000,采石场的狂尸
68,5;6011,1000,5;6012,1000,5;6013,1000,5;6014,1000,5;6018,1000,5;6033,1000,5;6034,1000,5;6035,1000,5;6036,1000,5;6037,1000,采石场的巨尸
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,核电站的假人
70,5;2007,1200,5;2020,1100,5;2021,1100,5;2022,1100,5;2023,1100,5;2024,1100,5;2025,1100,5;2026,1100,5;2027,1100,0,0,核电站的爬尸
71,5;3007,1000,5;3020,1000,5;3021,1000,5;3022,1000,5;3023,1000,5;3024,1000,5;3025,1000,5;3026,1000,5;3028,1000,5;3029,1000,核电站的行尸
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,核电站的叫尸
73,5;5011,1000,5;5012,1000,5;5013,1000,5;5014,1000,5;5018,1000,5;5033,1000,5;5034,1000,5;5035,1000,5;5036,1000,5;5037,1000,核电站的狂尸
74,5;6011,1000,5;6012,1000,5;6013,1000,5;6014,1000,5;6018,1000,5;6033,1000,5;6034,1000,5;6035,1000,5;6036,1000,5;6037,1000,核电站的巨尸
75,5;4010,2500,5;4011,2500,5;4012,2500,5;4013,2500,0,0,0,0,0,0,0,0,0,0,0,0,军事基地的叫尸
76,5;5002,1000,5;5003,1000,5;5015,1000,5;5016,1000,5;5028,1000,5;5029,1000,5;5030,1000,5;5031,1000,5;5032,1000,5;5033,1000,军事基地的狂尸
77,5;5002,1000,5;5003,1000,5;5015,1000,5;5016,1000,5;5028,1000,5;5029,1000,5;5030,1000,5;5031,1000,5;5032,1000,5;5033,1000,军事基地的巨尸
99,5;17000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,平民爆炸僵尸
100,5;16000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,野外蜘蛛
1000,0;1,1000,0;2,1500,0;3,3500,0;4,2500,0;5,1000,0;6,500,0,0,0,0,0,0,0,0,民居
1001,0;7,3000,0;8,1000,0;9,1000,0;10,500,0;11,1500,0;12,1000,0;99,2000,0,0,0,0,0,0,街上
1002,0;13,1000,0;14,1500,0;15,3500,0;16,2500,0;17,1000,0;18,500,0,0,0,0,0,0,0,0,食品店
1003,0;19,1000,0;20,1500,0;21,3500,0;22,2500,0;23,1000,0;24,500,0,0,0,0,0,0,0,0,杂货店
1004,0;25,1000,0;26,1500,0;27,3500,0;28,2500,0;29,1000,0;30,500,0,0,0,0,0,0,0,0,邮局
1005,0;31,1000,0;32,1500,0;33,3500,0;34,2500,0;35,1000,0;36,500,0,0,0,0,0,0,0,0,警察局
1006,0;37,1000,0;38,1500,0;39,3500,0;40,2500,0;41,1000,0;42,500,0,0,0,0,0,0,0,0,机场
1007,0;43,1000,0;44,1500,0;45,3500,0;46,2500,0;47,1000,0;48,500,0,0,0,0,0,0,0,0,农场
1008,0;50,1500,0;51,7000,0;53,1000,0;54,500,0,0,0,0,0,0,0,0,0,0,0,0,港口
1009,0;55,1000,0;56,1500,0;57,3500,0;58,2500,0;59,1000,0;60,500,0,0,0,0,0,0,0,0,营地
1010,0;62,1500,0;63,7000,0;65,1000,0;66,500,0,0,0,0,0,0,0,0,0,0,0,0,采石场
1011,0;68,1500,0;69,7000,0;71,1000,0;72,500,0,0,0,0,0,0,0,0,0,0,0,0,核电站
1012,0;73,2000,0;74,7000,0;75,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,军事基地
1013,0;10,2000,0;100,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,野外
1014,0;45,5000,0;46,2500,0;47,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,小村庄
